Metric,Mar 2024,Mar 2025
Sales+,"1,661","1,764"
Expenses+,"1,519","1,616"
Operating Profit,142,148
OPM %,9%,8%
Other Income+,30,29
Interest,18,19
Depreciation,31,33
Profit before tax,123,125
Tax %,25%,26%
Net Profit+,92,93
EPS in Rs,11.25,11.39
Dividend Payout %,18%,26%
