Symbol,Type,Sector,Sectors,Industrys
RELIANCE,Reliance Industr,Oil & Gas-Energy,Oil & Gas,Energy
HDFCBANK,Hdfcbank Bank,Financial Services-Financial Services,Financial Services,Financial Services
BHARTIARTL,Bhartiartl Airtel,Financial Services-Telecommunication,Financial Services,Telecommunication
TCS,Tcs https,Financial Services-Information Technology,Financial Services,Information Technology
ICICIBANK,Icicibank Bank,Financial Services-Financial Services,Financial Services,Financial Services
SBIN,Sbin https,Financial Services-Financial Services,Financial Services,Financial Services
INFY,Infy https,Financial Services-Information Technology,Financial Services,Information Technology
BAJFINANCE,Bajfinance Finance,Financial Services-Financial Services,Financial Services,Financial Services
HINDUNILVR,Hindunilvr Unilever,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
LICI,Lici Insurance,Financial Services-Financial Services,Financial Services,Financial Services
LT,Lt & Toubro,Realty-,,
ITC,Itc https,FMCG-,,
MARUTI,Maruti Suzuki,Automobile-,,
M&M,M&M & M,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
HCLTECH,Hcltech Technologies,IT-,,
SUNPHARMA,Sunpharma Pharma.Inds.,Financial Services-Healthcare,Financial Services,Healthcare
KOTAKBANK,Kotakbank Mah. Bank,Financial Services-,,
AXISBANK,Axisbank Bank,Financial Services-,,
TITAN,Titan Company,FMCG-,,
ULTRACEMCO,Ultracemco Cem.,Cement-,,
BAJAJFINSV,Bajajfinsv Finserv,Financial Services-Financial Services,Financial Services,Financial Services
ADANIPORTS,Adaniports Ports,Financial Services-Services,Financial Services,Services
NTPC,Ntpc https,Oil & Gas-Utilities,Oil & Gas,Utilities
ADANIENT,Adanient Enterp.,Financial Services-Commodities,Financial Services,Commodities
ONGC,Ongc N G C,Energy-,,
HAL,Hal Aeronautics,Aerospace & Defense-,,
BEL,Bel Electron,Financial Services-Industrials,Financial Services,Industrials
ETERNAL,Eternal Ltd,˜Consumer Discretionary-,,
ADANIPOWER,Adanipower Power,Utilities-Power,,
JSWSTEEL,Jswsteel Steel,Financial Services-Commodities,Financial Services,Commodities
ASIANPAINT,Asianpaint Paints,˜Consumer Discretionary-Paints,,
DMART,Dmart Super.,˜Consumer Discretionary-Retail,,
POWERGRID,Powergrid Grid Corpn,Financial Services-Utilities,Financial Services,Utilities
WIPRO,Wipro https,Financial Services-Information Technology,Financial Services,Information Technology
BAJAJ-AUTO,Bajaj-Auto Auto,˜Consumer Discretionary-Automobiles,,
NESTLEIND,Nestleind India,Financial Services-Fast Moving Consumer Goods,,
IOC,Ioc O C L,Oil & Gas-Energy,Oil & Gas,Energy
COALINDIA,Coalindia India,Energy-,,
INDIGO,Indigo Aviat,Financial Services-Services,Financial Services,Services
TATASTEEL,Tatasteel Steel,Financial Services-Commodities,Financial Services,Commodities
SBILIFE,Sbilife Life Insuran,Financial Services-Financial Services,Financial Services,Financial Services
EICHERMOT,Eichermot Motors,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
VEDL,Vedl https,Oil & Gas-Commodities,Oil & Gas,Commodities
HINDZINC,Hindzinc Zinc,Financial Services-Commodities,Financial Services,Commodities
JIOFIN,Jiofin Financial,Financial Services-Financial Services,Financial Services,Financial Services
HYUNDAI,Hyundai Motor I,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GRASIM,Grasim Inds,Financial Services-Commodities,Financial Services,Commodities
DLF,Dlf https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
LTIM,Ltim https,Financial Services-Information Technology,Financial Services,Information Technology
HINDALCO,Hindalco Inds.,Financial Services-Commodities,Financial Services,Commodities
ADANIGREEN,Adanigreen Green,Financial Services-Utilities,Financial Services,Utilities
DIVISLAB,Divislab Lab.,Financial Services-Healthcare,Financial Services,Healthcare
HDFCLIFE,Hdfclife Life Insur.,Financial Services-Financial Services,Financial Services,Financial Services
TVSMOTOR,Tvsmotor Motor Co.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BPCL,Bpcl P C L,Oil & Gas-Energy,Oil & Gas,Energy
IRFC,Irfc R F C,Financial Services-Financial Services,Financial Services,Financial Services
SHRIRAMFIN,Shriramfin Finance,Financial Services-Financial Services,Financial Services,Financial Services
TRENT,Trent https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
VBL,Vbl Beverages,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
PIDILITIND,Pidilitind Inds.,Financial Services-Commodities,Financial Services,Commodities
BANKBARODA,Bankbaroda of Baroda,Financial Services-Financial Services,Financial Services,Financial Services
MUTHOOTFIN,Muthootfin Finance,Financial Services-Financial Services,Financial Services,Financial Services
TECHM,Techm Mahindra,Financial Services-Information Technology,Financial Services,Information Technology
PNB,Pnb Natl.Bank,Financial Services-Financial Services,Financial Services,Financial Services
CHOLAFIN,Cholafin Inv.&Fn,Financial Services-Financial Services,Financial Services,Financial Services
BRITANNIA,Britannia Inds.,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
AMBUJACEM,Ambujacem Cements,Financial Services-Commodities,Financial Services,Commodities
TATACAP,Tatacap Capital,Financial Services-Financial Services,Financial Services,Financial Services
TMPV,Tmpv Motors PVeh,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CANBK,Canbk Bank,Financial Services-Financial Services,Financial Services,Financial Services
BAJAJHLDNG,Bajajhldng Holdings,Financial Services-Financial Services,Financial Services,Financial Services
TORNTPHARM,Torntpharm Pharma.,Financial Services-Healthcare,Financial Services,Healthcare
