,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,441,683,642,600,476,"1,012","1,056","1,286",771,"1,143","1,148","1,758","1,069"
Expenses +,409,548,493,667,397,821,746,998,594,946,910,"1,492",827
Operating Profit,32,135,148,-67,79,191,310,288,177,197,237,266,241
OPM %,7%,20%,23%,-11%,17%,19%,29%,22%,23%,17%,21%,15%,23%
Other Income +,56,62,23,133,84,89,58,80,84,101,47,157,54
Interest,12,12,12,-1,9,10,8,7,7,9,11,12,12
Depreciation,19,20,19,11,17,19,20,19,19,26,32,27,34
Profit before tax,56,165,140,57,137,251,340,342,236,263,242,384,250
Tax %,25%,32%,21%,30%,28%,28%,28%,24%,26%,28%,27%,25%,25%
Net Profit +,42,113,110,39,99,182,244,259,174,189,177,287,188
EPS in Rs,1.60,4.29,4.20,1.50,3.75,6.90,9.29,9.84,6.62,7.18,6.73,10.92,7.14
Raw PDF,,,,,,,,,,,,,
