,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,304,311,314,297,311,335,341,366,387,424,445,429,447
Expenses +,123,129,131,139,141,143,147,161,166,174,171,185,181
Operating Profit,182,182,183,158,170,192,194,205,220,250,274,244,266
OPM %,60%,59%,58%,53%,55%,57%,57%,56%,57%,59%,62%,57%,59%
Other Income +,-31,77,49,32,78,56,80,74,95,96,38,72,118
Interest,1,1,1,1,1,2,1,2,1,1,2,1,1
Depreciation,9,8,9,8,7,9,9,10,9,10,11,10,10
Profit before tax,141,249,223,181,240,237,264,268,305,335,300,305,372
Tax %,27%,23%,25%,25%,23%,25%,21%,22%,23%,28%,25%,25%,26%
Net Profit +,103,192,166,136,185,178,209,208,236,242,224,228,277
EPS in Rs,3.57,6.66,5.77,4.71,6.41,6.18,7.27,7.23,8.18,8.41,7.78,7.91,9.60
Raw PDF,,,,,,,,,,,,,
