,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"3,194","3,554","3,711","3,682","3,407","3,459","3,556","3,597","3,517","3,698","3,759","3,948","3,914"
Expenses +,"2,576","3,026","3,282","3,221","2,765","2,802","2,994","3,076","2,940","3,163","3,397","3,455","3,403"
Operating Profit,618,528,428,461,642,657,562,521,576,535,362,493,511
OPM %,19%,15%,12%,13%,19%,19%,16%,14%,16%,14%,10%,12%,13%
Other Income +,91,121,112,139,129,152,140,161,157,174,170,202,164
Interest,2,3,3,3,2,2,2,3,2,2,2,4,3
Depreciation,86,91,92,94,99,102,102,111,114,119,122,121,124
Profit before tax,621,554,445,503,670,704,599,569,617,588,408,570,548
Tax %,22%,23%,25%,21%,22%,22%,21%,24%,22%,23%,20%,20%,22%
Net Profit +,481,427,334,398,522,553,475,433,480,454,325,453,428
EPS in Rs,3.44,3.05,2.39,2.84,3.73,3.95,3.40,3.10,3.44,3.25,2.33,3.25,3.06
Raw PDF,,,,,,,,,,,,,
