,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"3,101","3,011","2,998","2,689","3,275","3,076","3,130","2,902","3,395","3,235","3,369","3,141","3,753"
Expenses +,"2,572","2,511","2,502","2,232","2,569","2,398","2,388","2,327","2,583","2,467","2,571","2,509","2,812"
Operating Profit,529,500,496,458,706,678,742,575,812,768,798,632,941
OPM %,17%,17%,17%,17%,22%,22%,24%,20%,24%,24%,24%,20%,25%
Other Income +,14,14,7,23,23,32,37,-23,54,57,56,55,86
Interest,9,12,15,12,12,13,13,13,12,12,12,14,14
Depreciation,61,64,69,76,73,75,79,113,84,88,90,97,97
Profit before tax,473,439,419,393,644,622,687,426,770,725,752,576,916
Tax %,24%,23%,27%,27%,26%,26%,26%,29%,26%,25%,26%,26%,26%
Net Profit +,358,338,308,286,474,459,511,304,571,540,557,428,678
EPS in Rs,3.48,3.27,2.99,2.78,4.60,4.43,5.02,2.96,5.57,5.26,5.43,4.15,6.61
Raw PDF,,,,,,,,,,,,,
