,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,080","1,329","1,227","1,274","1,240","1,295","1,169","1,150","1,020","1,044","1,066","1,157","1,039"
Expenses +,833,"1,017",861,958,897,913,858,853,731,769,783,855,733
Operating Profit,247,312,366,316,343,382,311,297,289,276,283,302,306
OPM %,23%,23%,30%,25%,28%,30%,27%,26%,28%,26%,27%,26%,29%
Other Income +,21,32,118,64,60,62,84,77,83,91,72,98,114
Interest,1,4,5,10,8,7,7,6,6,5,1,8,7
Depreciation,21,25,24,23,24,25,27,25,25,24,26,28,28
Profit before tax,246,316,454,346,371,412,361,344,341,337,327,363,386
Tax %,22%,22%,22%,23%,26%,21%,22%,24%,24%,24%,21%,21%,21%
Net Profit +,191,245,352,268,273,324,280,260,259,256,259,285,305
EPS in Rs,20.19,25.96,37.37,28.43,28.87,34.25,29.64,27.62,27.52,27.22,27.48,30.24,32.34
Raw PDF,,,,,,,,,,,,,
