,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"2,032","1,891","2,291","2,214","2,355","2,478","2,728","2,301","2,574","2,277","2,948","2,445","2,500"
Expenses +,"1,836","1,746","2,106","1,981","2,024","2,214","2,402","2,015","2,259","2,047","2,616","2,158","2,179"
Operating Profit,196,145,185,233,331,264,325,285,315,230,332,287,321
OPM %,10%,8%,8%,11%,14%,11%,12%,12%,12%,10%,11%,12%,13%
Other Income +,36,25,92,86,99,94,129,133,140,140,143,178,"1,260"
Interest,3,3,3,4,3,9,11,12,11,10,4,5,4
Depreciation,37,37,38,38,40,58,57,59,59,61,62,62,60
Profit before tax,192,130,236,278,386,290,386,347,385,299,410,398,"1,518"
Tax %,27%,24%,23%,22%,25%,27%,23%,22%,22%,-8%,22%,20%,8%
Net Profit +,141,99,181,216,290,211,299,270,302,324,321,318,"1,397"
EPS in Rs,10.66,7.49,13.70,16.41,26.24,19.05,27.01,24.43,27.30,28.98,28.66,28.46,124.88
Raw PDF,,,,,,,,,,,,,
