,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"2,822","2,986","3,043","2,678","3,130","3,204","3,255","2,815","3,349","3,029","3,355","2,830","3,405"
Expenses +,"2,279","2,386","2,434","2,268","2,526","2,543","2,588","2,348","2,694","2,476","2,673","2,403","2,737"
Operating Profit,543,600,609,410,605,661,667,466,655,553,682,427,667
OPM %,19%,20%,20%,15%,19%,21%,20%,17%,20%,18%,20%,15%,20%
Other Income +,101,123,101,121,110,117,127,129,129,152,129,141,144
Interest,12,15,19,32,24,28,36,35,33,47,44,39,35
Depreciation,68,70,71,102,97,98,97,107,109,111,109,117,114
Profit before tax,564,638,620,396,593,651,661,453,642,546,658,412,663
Tax %,22%,23%,23%,26%,23%,22%,23%,25%,23%,24%,22%,24%,23%
Net Profit +,441,491,477,293,457,507,506,341,494,418,516,313,508
EPS in Rs,2.49,2.77,2.69,1.70,2.62,2.91,2.90,1.97,2.82,2.40,2.95,1.81,2.90
Raw PDF,,,,,,,,,,,,,
