,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,680","1,914","2,062","2,334","2,342","2,519","2,850","2,267","1,502","1,660","1,828","1,912","1,918"
Expenses +,"2,320","2,461","2,393","2,466","2,652","2,750","3,014","2,734","2,295","2,063","2,050","2,000","1,846"
Operating Profit,-640,-547,-331,-131,-311,-231,-163,-467,-794,-403,-223,-89,72
OPM %,-38%,-29%,-16%,-6%,-13%,-9%,-6%,-21%,-53%,-24%,-12%,-5%,4%
Other Income +,102,100,83,130,123,139,149,132,138,"1,524",189,-298,225
Interest,6,5,5,7,7,7,5,5,4,3,4,4,4
Depreciation,97,104,124,160,159,180,201,196,178,179,165,150,166
Profit before tax,-641,-557,-377,-168,-354,-279,-221,-536,-839,939,-204,-542,126
Tax %,1%,3%,4%,-0%,1%,5%,0%,3%,0%,1%,2%,0%,3%
Net Profit +,-645,-572,-392,-168,-358,-292,-222,-550,-840,930,-208,-545,122
EPS in Rs,-9.93,-8.80,-6.04,-2.66,-5.63,-4.58,-3.46,-8.65,-13.19,14.58,-3.27,-8.46,1.92
Raw PDF,,,,,,,,,,,,,
