,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,903,933,967,979,950,994,"1,002","1,079","1,045","1,121","1,147","1,179","1,139"
Expenses +,799,836,852,871,849,893,902,970,941,"1,004","1,029","1,057","1,018"
Operating Profit,104,97,114,108,101,100,100,109,104,117,118,122,121
OPM %,12%,10%,12%,11%,11%,10%,10%,10%,10%,10%,10%,10%,11%
Other Income +,15,20,17,19,26,32,28,34,32,35,29,40,31
Interest,2,3,3,2,2,3,4,4,4,5,6,6,5
Depreciation,29,30,31,31,31,31,33,33,29,29,30,29,29
Profit before tax,88,85,98,94,94,97,91,106,103,118,111,127,118
Tax %,11%,14%,11%,12%,11%,10%,12%,3%,11%,9%,8%,10%,9%
Net Profit +,79,73,86,82,83,88,80,103,92,107,102,115,107
EPS in Rs,10.06,9.33,11.05,10.51,10.60,11.21,10.22,13.13,11.69,13.66,12.95,14.65,13.65
Raw PDF,,,,,,,,,,,,,
