,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"4,073","4,135","4,257","5,011","5,140","4,369","4,505","5,534","6,208","5,237","5,269","6,528","6,574"
Expenses +,"3,240","3,319","3,301","3,755","3,634","3,223","3,403","3,903","4,124","3,776","3,882","4,402","4,485"
Operating Profit,833,815,956,"1,256","1,505","1,146","1,102","1,630","2,084","1,461","1,388","2,126","2,088"
OPM %,20%,20%,22%,25%,29%,26%,24%,29%,34%,28%,26%,33%,32%
Other Income +,55,50,39,-566,21,53,60,160,63,68,57,-139,155
Interest,34,35,33,28,18,9,20,35,32,25,32,77,85
Depreciation,181,182,182,179,180,184,195,205,215,234,229,238,238
Profit before tax,673,648,780,484,"1,328","1,006",947,"1,550","1,900","1,271","1,184","1,672","1,921"
Tax %,18%,21%,25%,28%,16%,22%,23%,21%,23%,29%,15%,25%,23%
Net Profit +,576,526,631,358,"1,134",803,790,"1,246","1,482",920,"1,026","1,244","1,521"
EPS in Rs,5.06,5.16,6.15,2.93,10.74,7.91,7.80,11.75,14.11,9.06,10.17,11.64,14.58
Raw PDF,,,,,,,,,,,,,
