,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Revenue +,"9,284","9,970","10,787","11,364","12,498","13,382","14,164","14,926","16,100","17,091","18,035","18,457","19,524"
Interest,"2,645","2,972","3,351","3,592","4,103","4,537","4,868","5,217","5,684","6,149","6,386","6,552","6,918"
Expenses +,"3,026","3,129","3,308","3,382","3,693","3,931","4,229","4,420","4,956","5,338","5,691","6,026","5,992"
Financing Profit,"3,613","3,869","4,129","4,390","4,703","4,914","5,066","5,289","5,460","5,604","5,958","5,879","6,614"
Financing Margin %,39%,39%,38%,39%,38%,37%,36%,35%,34%,33%,33%,32%,34%
Other Income +,2,4,2,5,5,2,5,9,5,8,26,21,5
Depreciation,111,121,119,134,156,159,176,193,200,210,219,252,251
Profit before tax,"3,503","3,752","4,012","4,261","4,551","4,758","4,896","5,105","5,265","5,401","5,765","5,647","6,368"
Tax %,26%,26%,26%,26%,24%,25%,26%,25%,26%,26%,25%,20%,25%
Net Profit +,"2,596","2,781","2,973","3,158","3,437","3,551","3,639","3,825","3,912","4,014","4,308","4,546","4,765"
EPS in Rs,4.29,4.59,4.91,5.22,5.67,5.86,5.89,6.18,6.32,6.46,6.86,7.21,7.56
Gross NPA %,1.25%,1.17%,1.14%,0.94%,0.87%,0.91%,0.95%,0.85%,0.86%,1.06%,1.12%,0.96%,1.03%
Net NPA %,0.51%,0.44%,0.41%,0.34%,0.31%,0.31%,0.37%,0.37%,0.38%,0.46%,0.48%,0.44%,0.50%
Raw PDF,,,,,,,,,,,,,
