,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,994","1,986","2,004","2,184","1,923","2,195","2,211","2,325","2,103","2,288","2,208","2,288","2,154"
Expenses +,"1,515","1,481","1,572","1,733","1,527","1,648","1,693","1,827","1,662","1,706","1,743","1,847","1,721"
Operating Profit,479,506,432,451,396,546,517,498,442,582,465,441,433
OPM %,24%,25%,22%,21%,21%,25%,23%,21%,21%,25%,21%,19%,20%
Other Income +,69,45,104,94,81,105,92,93,94,96,96,129,95
Interest,15,16,16,17,16,17,19,20,19,19,18,17,17
Depreciation,137,139,140,158,142,153,159,165,169,166,85,160,162
Profit before tax,394,396,381,371,319,482,431,406,347,493,457,392,349
Tax %,25%,25%,24%,26%,24%,25%,24%,26%,25%,25%,26%,27%,26%
Net Profit +,297,304,293,279,245,368,331,318,259,366,367,299,267
EPS in Rs,3.90,3.98,3.86,3.66,3.22,4.82,4.34,4.16,3.39,4.80,4.81,3.92,3.50
Raw PDF,,,,,,,,,,,,,
