,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,666","1,307","1,463","1,317","1,326","1,291","1,309","1,530","1,342","1,268","1,298","1,468","1,323"
Expenses +,"1,206","1,072","1,280","1,041","1,019",930,978,"1,201",935,"1,021","1,076","1,150",999
Operating Profit,461,235,183,276,307,361,331,329,408,247,221,318,324
OPM %,28%,18%,13%,21%,23%,28%,25%,22%,30%,19%,17%,22%,24%
Other Income +,16,26,41,14,44,26,17,41,32,24,20,32,26
Interest,4,10,18,14,10,10,16,24,14,14,13,15,15
Depreciation,28,31,33,32,34,35,35,37,38,39,37,40,44
Profit before tax,445,221,174,243,307,343,296,310,387,218,192,295,291
Tax %,26%,24%,26%,30%,25%,25%,23%,29%,26%,27%,24%,25%,26%
Net Profit +,327,169,128,170,231,257,229,219,287,159,145,222,216
EPS in Rs,4.64,2.39,1.82,2.41,3.40,3.78,3.37,3.21,4.22,2.38,2.16,3.31,3.23
Raw PDF,,,,,,,,,,,,,
