,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"5,696","5,826","5,645","5,842","6,440","6,217","6,162","6,349","7,196","6,881","7,001","7,075","7,676"
Expenses +,"5,203","5,346","5,083","4,988","5,310","5,060","5,108","5,437","6,037","5,870","6,166","5,996","6,604"
Operating Profit,493,481,562,854,"1,130","1,157","1,055",912,"1,160","1,011",835,"1,079","1,071"
OPM %,9%,8%,10%,15%,18%,19%,17%,14%,16%,15%,12%,15%,14%
Other Income +,34,77,71,70,75,71,78,94,84,113,98,113,126
Interest,66,75,86,92,84,86,90,93,85,84,94,98,98
Depreciation,298,309,316,330,333,351,360,385,396,410,415,433,429
Profit before tax,164,174,231,501,787,791,682,527,763,631,424,661,670
Tax %,25%,25%,24%,32%,25%,26%,25%,25%,25%,25%,26%,22%,25%
Net Profit +,124,130,175,341,589,587,510,396,571,471,315,512,500
EPS in Rs,291.43,306.19,412.23,803.19,"1,388.20","1,383.27","1,201.83",933.96,"1,346.40","1,109.85",743.79,"1,207.49","1,180.05"
Raw PDF,,,,,,,,,,,,,
