,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,270,318,357,440,322,381,408,504,428,398,484,625,424
Expenses +,234,271,302,347,274,313,304,403,352,323,384,508,351
Operating Profit,36,46,55,93,48,69,105,101,76,75,99,116,73
OPM %,13%,15%,16%,21%,15%,18%,26%,20%,18%,19%,20%,19%,17%
Other Income +,-0,16,14,11,23,18,25,23,29,32,7,17,36
Interest,0,0,0,0,0,0,0,1,0,0,0,0,0
Depreciation,2,2,3,3,2,3,3,3,3,3,3,4,3
Profit before tax,33,60,66,101,68,84,126,119,101,104,102,129,105
Tax %,20%,23%,24%,24%,26%,18%,25%,22%,22%,27%,28%,25%,24%
Net Profit +,27,46,51,77,51,68,95,94,79,76,73,97,80
EPS in Rs,26.37,45.41,50.17,75.68,50.19,67.65,93.51,92.45,78.52,74.86,72.55,95.71,78.63
Raw PDF,,,,,,,,,,,,,
