,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"8,448","9,158","8,118","8,434","8,851","9,533","9,788","9,617","10,211","10,483","10,260","9,970","9,728"
Expenses +,"7,527","8,096","7,177","7,345","7,734","8,174","8,403","8,298","8,804","9,033","8,844","8,529","8,315"
Operating Profit,920,"1,062",942,"1,089","1,117","1,360","1,385","1,319","1,407","1,450","1,416","1,441","1,413"
OPM %,11%,12%,12%,13%,13%,14%,14%,14%,14%,14%,14%,14%,15%
Other Income +,56,94,265,238,66,213,288,177,225,239,306,345,939
Interest,14,48,24,19,21,25,23,8,19,18,17,17,21
Depreciation,173,173,172,180,180,187,194,197,205,206,209,204,206
Profit before tax,789,936,"1,011","1,128",982,"1,360","1,456","1,292","1,408","1,464","1,497","1,565","2,126"
Tax %,26%,27%,29%,28%,29%,26%,25%,27%,27%,27%,26%,25%,20%
Net Profit +,586,682,721,811,701,"1,007","1,091",943,"1,032","1,066","1,108","1,169","1,706"
EPS in Rs,29.55,34.45,36.33,40.29,35.53,50.35,54.70,46.77,52.31,53.19,55.38,58.06,85.26
Raw PDF,,,,,,,,,,,,,
