,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,799","2,030","2,136","2,813","1,918","2,059","2,424","3,996","2,143","2,459","2,808","4,643","2,391"
Expenses +,"1,747","1,941","2,041","2,709","1,861","1,963","2,306","3,753","2,051","2,359","2,665","4,353","2,281"
Operating Profit,52,88,95,104,57,96,117,243,92,100,142,290,110
OPM %,3%,4%,4%,4%,3%,5%,5%,6%,4%,4%,5%,6%,5%
Other Income +,-55,44,1,48,48,11,36,-44,54,67,55,-38,74
Interest,1,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,2,1,1,1,1,1,1,2,3,3
Profit before tax,-6,131,95,151,104,105,152,198,144,166,196,249,181
Tax %,-13%,26%,25%,25%,25%,22%,25%,28%,25%,25%,27%,27%,26%
Net Profit +,-5,98,71,114,77,82,114,141,107,125,142,183,135
EPS in Rs,-0.02,0.35,0.26,0.40,0.28,0.29,0.41,0.50,0.39,0.45,0.51,0.65,0.49
Raw PDF,,,,,,,,,,,,,
