,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,193,234,239,259,260,362,426,539,602,813,825,847,958
Expenses +,137,184,165,132,146,173,280,388,319,358,533,362,332
Operating Profit,56,50,74,127,114,189,146,151,282,456,293,484,626
OPM %,29%,21%,31%,49%,44%,52%,34%,28%,47%,56%,35%,57%,65%
Other Income +,16,21,20,22,430,24,22,29,91,30,26,205,114
Interest,8,7,6,6,7,9,0,0,0,0,0,0,0
Depreciation,10,12,17,21,21,23,25,26,24,29,30,30,27
Profit before tax,54,51,71,122,516,182,143,154,349,457,288,660,713
Tax %,25%,42%,33%,27%,15%,35%,26%,30%,24%,24%,24%,25%,25%
Net Profit +,40,29,48,89,440,118,106,107,264,346,219,494,538
EPS in Rs,1.08,0.83,1.27,2.24,10.89,2.97,2.66,2.64,6.53,8.54,5.41,12.17,13.28
Raw PDF,,,,,,,,,,,,,
