,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"4,258","4,657","4,015","4,858","4,873","5,808","3,710","4,152","3,763","4,457","3,587","4,259","4,347"
Expenses +,"3,846","4,141","3,416","4,237","4,307","5,108","3,256","3,516","3,277","3,912","3,186","3,792","3,825"
Operating Profit,412,516,599,621,567,700,453,637,485,545,401,468,521
OPM %,10%,11%,15%,13%,12%,12%,12%,15%,13%,12%,11%,11%,12%
Other Income +,77,373,102,117,132,146,256,479,298,544,415,326,124
Interest,4,13,4,10,4,5,3,21,5,18,3,2,5
Depreciation,79,80,76,78,88,79,60,63,70,62,69,69,71
Profit before tax,406,796,621,649,607,762,646,"1,032",709,"1,009",743,723,570
Tax %,26%,18%,26%,27%,25%,25%,22%,22%,18%,18%,17%,19%,26%
Net Profit +,301,652,463,472,456,572,506,803,578,831,615,582,423
EPS in Rs,8.44,18.32,12.99,13.24,12.79,16.04,14.19,22.54,16.22,23.33,17.25,16.34,11.88
Raw PDF,,,,,,,,,,,,,
