,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,757,761,792,832,954,925,"1,161","1,079","1,137","1,116","1,294","1,304","1,506"
Expenses +,665,671,695,753,834,804,"1,018",959,990,955,"1,111","1,127","1,274"
Operating Profit,93,90,97,79,120,121,143,120,147,162,183,178,232
OPM %,12%,12%,12%,9%,13%,13%,12%,11%,13%,14%,14%,14%,15%
Other Income +,4,1,3,7,6,4,6,2,2,1,1,3,-5
Interest,3,4,6,9,12,12,18,17,16,17,20,22,16
Depreciation,17,17,17,20,24,26,32,32,33,36,36,36,36
Profit before tax,77,70,76,57,89,86,99,74,100,110,129,123,175
Tax %,24%,26%,25%,25%,23%,25%,24%,27%,25%,27%,26%,25%,25%
Net Profit +,62,54,61,43,68,65,75,54,75,81,95,92,131
EPS in Rs,4.64,4.08,4.58,3.19,5.11,4.85,5.62,4.03,5.64,6.03,7.14,6.88,9.75
Raw PDF,,,,,,,,,,,,,
