,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,130,156,143,247,445,724,"1,149","1,301"
Expenses +,123,148,128,212,375,621,989,"1,117"
Operating Profit,7,8,14,35,70,103,160,184
OPM %,5%,5%,10%,14%,16%,14%,14%,14%
Other Income +,0,1,2,1,1,12,9,7
Interest,2,3,3,4,4,6,4,4
Depreciation,1,1,1,2,4,6,11,12
Profit before tax,4,5,11,30,63,102,154,174
Tax %,31%,27%,26%,26%,25%,26%,26%,
Net Profit +,3,4,8,22,47,76,114,129
EPS in Rs,4.74,6.91,14.55,39.68,9.22,13.47,20.21,22.84
Dividend Payout %,0%,0%,0%,0%,5%,15%,12%,
