,Dec 2022,Dec 2023,Dec 2024,TTM
Sales +,491,639,"1,053","1,121"
Expenses +,156,188,453,452
Operating Profit,335,450,600,669
OPM %,68%,71%,57%,60%
Other Income +,8,10,35,43
Interest,3,3,9,9
Depreciation,12,13,41,36
Profit before tax,329,444,585,667
Tax %,27%,27%,27%,
Net Profit +,242,325,427,491
EPS in Rs,,,9.89,11.58
Dividend Payout %,0%,0%,25%,
