,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,329,274,277,308,302,275,247,332,393,315,242,381,251
Expenses +,295,237,233,285,276,234,203,275,306,251,213,282,225
Operating Profit,34,37,44,23,26,41,44,57,87,64,29,99,26
OPM %,10%,14%,16%,7%,9%,15%,18%,17%,22%,20%,12%,26%,10%
Other Income +,12,14,14,10,14,11,15,9,9,20,-39,11,26
Interest,2,2,3,3,3,2,3,2,0,2,2,0,0
Depreciation,6,6,7,7,7,7,6,6,2,6,6,2,2
Profit before tax,38,43,48,23,30,43,50,58,94,76,-18,108,50
Tax %,24%,26%,19%,30%,20%,19%,18%,17%,6%,26%,-44%,27%,16%
Net Profit +,29,32,39,16,24,35,41,48,88,56,-10,79,42
EPS in Rs,4.15,4.72,5.57,2.29,3.48,5.08,5.95,6.96,12.76,8.12,-1.45,11.46,6.09
Raw PDF,,,,,,,,,,,,,
