,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,828,"1,019",920,796,"1,046","1,158","1,250",875,"1,088","1,384","1,589","1,573","1,486"
Expenses +,626,779,710,644,794,934,"1,022",685,819,"1,112","1,228","1,304","1,149"
Operating Profit,201,241,210,152,253,224,228,191,270,272,361,269,338
OPM %,24%,24%,23%,19%,24%,19%,18%,22%,25%,20%,23%,17%,23%
Other Income +,2,43,79,44,53,38,87,114,40,102,80,136,141
Interest,6,7,7,9,7,7,6,4,3,5,3,4,3
Depreciation,38,39,39,37,37,36,36,28,27,32,28,42,28
Profit before tax,159,238,243,149,262,219,272,273,280,338,411,359,448
Tax %,17%,25%,23%,26%,16%,25%,22%,21%,18%,26%,23%,22%,20%
Net Profit +,142,202,199,147,254,202,212,215,229,248,316,280,356
EPS in Rs,9.12,12.94,12.77,9.43,16.31,12.95,13.61,13.73,14.65,15.92,20.25,17.90,22.84
Raw PDF,,,,,,,,,,,,,
