,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"40,972","47,378","60,308","69,829","69,193","68,262"
Expenses +,"36,724","41,887","52,753","60,750","60,277","59,463"
Operating Profit,"4,249","5,491","7,554","9,079","8,915","8,799"
OPM %,10%,12%,13%,13%,13%,13%
Other Income +,430,582,"1,124","1,527",908,861
Interest,165,132,142,158,127,120
Depreciation,"1,973","2,170","2,190","2,208","2,105","2,104"
Profit before tax,"2,540","3,772","6,346","8,240","7,591","7,435"
Tax %,26%,23%,26%,26%,26%,
Net Profit +,"1,881","2,902","4,709","6,060","5,640","5,520"
EPS in Rs,,,,,69.41,67.94
Dividend Payout %,72%,51%,99%,18%,30%,
