,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,784,864,958,"1,125",900,913,965,"1,224","1,031","1,036","1,144","1,281",979
Expenses +,743,801,808,980,790,818,841,"1,033",919,894,978,"1,092",867
Operating Profit,41,63,149,145,110,95,124,191,112,142,166,190,112
OPM %,5%,7%,16%,13%,12%,10%,13%,16%,11%,14%,14%,15%,11%
Other Income +,7,4,-0,13,10,2,16,36,15,14,11,24,16
Interest,7,8,12,8,8,6,5,8,6,6,8,6,6
Depreciation,16,17,18,18,18,19,21,21,21,22,22,24,23
Profit before tax,24,42,119,132,95,72,114,199,100,129,146,184,98
Tax %,38%,29%,25%,31%,30%,34%,27%,28%,29%,26%,22%,33%,28%
Net Profit +,16,31,89,101,64,51,82,153,66,97,118,138,68
EPS in Rs,1.94,3.87,11.17,12.62,8.02,6.35,10.31,19.17,8.20,12.05,14.76,17.27,8.40
Raw PDF,,,,,,,,,,,,,
