,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"2,543","3,444","3,816","3,831","3,861"
Expenses +,"2,291","2,974","3,249","3,199","3,237"
Operating Profit,253,470,567,632,624
OPM %,10%,14%,15%,16%,16%
Other Income +,38,67,95,108,150
Interest,2,6,5,6,5
Depreciation,92,105,110,124,128
Profit before tax,196,427,546,609,640
Tax %,27%,26%,26%,24%,
Net Profit +,142,318,406,461,484
EPS in Rs,74.90,167.48,214.29,242.90,255.00
Dividend Payout %,16%,8%,8%,8%,
