,Dec 2022,Dec 2023,Dec 2024,TTM
Sales +,"6,867","7,251","8,232","8,779"
Expenses +,"5,571","5,929","6,787","7,217"
Operating Profit,"1,296","1,322","1,446","1,562"
OPM %,19%,18%,18%,18%
Other Income +,92,120,118,139
Interest,5,5,5,5
Depreciation,206,223,282,315
Profit before tax,"1,177","1,214","1,278","1,381"
Tax %,25%,26%,27%,
Net Profit +,879,899,939,"1,012"
EPS in Rs,56.25,57.52,60.07,64.78
Dividend Payout %,43%,45%,47%,
