,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"6,299","6,290","7,264","7,681"
Expenses +,"5,115","4,446","5,695","6,049"
Operating Profit,"1,184","1,844","1,569","1,632"
OPM %,19%,29%,22%,21%
Other Income +,112,175,167,163
Interest,9,13,14,15
Depreciation,231,277,352,365
Profit before tax,"1,056","1,728","1,370","1,415"
Tax %,25%,26%,24%,
Net Profit +,790,"1,285","1,040","1,069"
EPS in Rs,79.98,130.06,105.34,108.29
Dividend Payout %,20%,23%,28%,
