,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"34,470","36,538","38,318","37,441","37,933","38,994","38,821","37,923","39,315","40,986","41,764","40,925","42,279"
Expenses +,"26,606","27,636","28,951","28,443","28,869","29,554","29,684","29,139","29,878","31,177","31,649","31,051","32,336"
Operating Profit,"7,864","8,902","9,367","8,998","9,064","9,440","9,137","8,784","9,437","9,809","10,115","9,874","9,943"
OPM %,23%,24%,24%,24%,24%,24%,24%,23%,24%,24%,24%,24%,24%
Other Income +,676,584,769,671,561,632,789,"2,729",838,712,859,"1,190","1,042"
Interest,56,66,80,82,90,138,131,110,105,108,101,102,105
Depreciation,950,"1,029","1,125","1,121","1,173","1,166","1,176","1,163","1,149","1,160","1,203","1,299","1,140"
Profit before tax,"7,534","8,391","8,931","8,466","8,362","8,768","8,619","10,240","9,021","9,253","9,670","9,663","9,740"
Tax %,29%,28%,26%,28%,29%,29%,29%,22%,29%,30%,29%,27%,29%
Net Profit +,"5,362","6,026","6,586","6,134","5,945","6,215","6,113","7,975","6,374","6,516","6,822","7,038","6,924"
EPS in Rs,12.74,14.31,15.70,14.77,14.32,14.97,14.71,19.20,15.34,15.67,16.39,16.93,16.66
Raw PDF,,,,,,,,,,,,,
