,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales +,"10,638","11,569","10,594","11,865","12,624","13,572","12,727","14,069","14,444","15,973","14,872","16,360","16,676"
Expenses +,"9,746","10,604","9,823","10,830","11,619","12,453","11,783","12,848","13,351","14,755","13,917","15,061","15,463"
Operating Profit,892,965,772,"1,035","1,005","1,120",944,"1,221","1,094","1,217",955,"1,299","1,214"
OPM %,8%,8%,7%,9%,8%,8%,7%,9%,8%,8%,6%,8%,7%
Other Income +,36,32,33,39,37,33,38,42,34,24,25,19,20
Interest,18,17,16,15,16,15,13,16,16,18,19,29,35
Depreciation,162,168,164,162,174,189,205,193,208,228,241,232,253
Profit before tax,748,812,625,897,852,949,763,"1,054",903,995,720,"1,057",945
Tax %,8%,27%,26%,27%,27%,27%,26%,27%,27%,27%,24%,27%,28%
Net Profit +,686,590,460,659,623,690,563,774,659,724,551,773,685
EPS in Rs,10.59,9.10,7.10,10.12,9.58,10.61,8.66,11.89,10.14,11.12,8.47,11.88,10.53
Raw PDF,,,,,,,,,,,,,
